1,https://radio.garden/visit/laguna-beach-ca/dM5tFD0M,https://radio.garden/api/ara/content/listen/dPC1oHYn/channel.mp3?r=1&1683173243377
2,https://radio.garden/visit/lake-forest-ca/SpisAO9Y,https://radio.garden/api/ara/content/listen/r58FifSD/channel.mp3?r=1&1683173256184
3,https://radio.garden/visit/oceanside-ca/YVG98PFm,https://radio.garden/api/ara/content/listen/17LtO0q4/channel.mp3?r=1&1683173270040
4,https://radio.garden/visit/menifee-ca/2cCPtPgW,https://radio.garden/api/ara/content/listen/LBlClcZL/channel.mp3?r=1&1683173282202
5,https://radio.garden/visit/san-diego-ca/Ho58GDOX,https://radio.garden/api/ara/content/listen/Rlhardrh/channel.mp3?r=1&1683173295093
6,https://radio.garden/visit/temecula-ca/nMXOyAJn,https://radio.garden/api/ara/content/listen/O80KpXA7/channel.mp3?r=1&1683173311617
7,https://radio.garden/visit/tijuana/njGwJTgr,https://radio.garden/api/ara/content/listen/6yGUEFyI/channel.mp3?r=1&1683173337283
8,https://radio.garden/visit/anza-ca/6kWJDkw0,https://radio.garden/api/ara/content/listen/LBHf51oS/channel.mp3?r=1&1683173360216
9,https://radio.garden/visit/tecate/fcUSqoWB,https://radio.garden/api/ara/content/listen/i2yPTX6j/channel.mp3?r=1&1683173381539
10,https://radio.garden/visit/ensenada/oIcIiARs,https://radio.garden/api/ara/content/listen/b6LG0tMq/channel.mp3?r=1&1683173397703
11,https://radio.garden/visit/cathedral-city-ca/1eXmtJAO,https://radio.garden/api/ara/content/listen/gYDlZr8i/channel.mp3?r=1&1683173417912
12,https://radio.garden/visit/palm-desert-ca/DjYjOuCF,https://radio.garden/api/ara/content/listen/nTAX5e-G/channel.mp3?r=1&1683173436191
13,https://radio.garden/visit/la-quinta-ca/r3rhpkJy,https://radio.garden/api/ara/content/listen/wfflN7Ip/channel.mp3?r=1&1683173457080
14,https://radio.garden/visit/coachella-ca/XNABIE6J,https://radio.garden/api/ara/content/listen/VMRYG6zX/channel.mp3?r=1&1683173478671
15,https://radio.garden/visit/mexicali/3cr0A0Mr,https://radio.garden/api/ara/content/listen/ltvkhXDM/channel.mp3?r=1&1683173500885
16,https://radio.garden/visit/san-luis-rio-colorado/1gGV6QCj,https://radio.garden/api/ara/content/listen/fLTOWjgz/channel.mp3?r=1&1683173519335
17,https://radio.garden/visit/yuma-az/tf0S4EWr,https://radio.garden/api/ara/content/listen/a97HTTVP/channel.mp3?r=1&1683173536340
18,https://radio.garden/visit/puerto-penasco/uZr1Hzys,https://radio.garden/api/ara/content/listen/Gqxad1Rl/channel.mp3?r=1&1683173556768
19,https://radio.garden/visit/caborca/nu0F8ftc,http://radio.garden/api/ara/content/listen/HLNnOf5r/channel.mp3?r=1&1683173575404
20,https://radio.garden/visit/magdalena-de-kino/hA3Uay-E,https://radio.garden/api/ara/content/listen/2vrTHx8M/channel.mp3?r=1&1683173594748
21,https://radio.garden/visit/nogales/WC8rvIE0,https://radio.garden/api/ara/content/listen/hf1ChiUv/channel.mp3?r=1&1683173618241
22,https://radio.garden/visit/nogales-az/L1WW1o1C,http://radio.garden/api/ara/content/listen/xTLSSQUO/channel.mp3?r=1&1683173652159
23,https://radio.garden/visit/tucson-az/vsiqXOYc,https://radio.garden/api/ara/content/listen/MeQFmxlU/channel.mp3?r=1&1683173683863
24,https://radio.garden/visit/cananea/YuBBpDft,https://radio.garden/api/ara/content/listen/KXNEKdUs/channel.mp3?r=1&1683173705429
25,https://radio.garden/visit/sierra-vista-az/SHsetBne,http://radio.garden/api/ara/content/listen/dJnSDKXc/channel.mp3?r=1&1683173726475
26,https://radio.garden/visit/bisbee-az/rgjtbVuK,http://radio.garden/api/ara/content/listen/IBTw3Hcy/channel.mp3?r=1&1683173779159
27,https://radio.garden/visit/nacozari-de-garcia/BOVEhEYI,
28,https://radio.garden/visit/agua-prieta/beSF8lxU,https://radio.garden/api/ara/content/listen/ndqQ14fC/channel.mp3?r=1&1683173871342
29,https://radio.garden/visit/casas-grandes/oBRoD8lz,https://radio.garden/api/ara/content/listen/E8b2DWaC/channel.mp3?r=1&1683173896604
30,https://radio.garden/visit/nuevo-casas-grandes-municipality/3yHHr0GX,https://radio.garden/api/ara/content/listen/6CDS7zgM/channel.mp3?r=1&1683173928955
31,https://radio.garden/visit/las-cruces-nm/SyNLT2pi,https://radio.garden/api/ara/content/listen/zxVWoviR/channel.mp3?r=1&1683174026323
32,https://radio.garden/visit/el-paso-tx/8YCnIuzA,http://radio.garden/api/ara/content/listen/1e5ZEwvp/channel.mp3?r=1&1683174087912
33,https://radio.garden/visit/ciudad-juarez/HZz68a0O,https://radio.garden/api/ara/content/listen/L5oSVomw/channel.mp3?r=1&1683174140312
34,https://radio.garden/visit/alamogordo-nm/iPpwYyZA,https://radio.garden/api/ara/content/listen/PpBLUYYr/channel.mp3?r=1&1683174170709
35,https://radio.garden/visit/ojinaga/MsFY9xpg,https://radio.garden/api/ara/content/listen/hyiCyw6q/channel.mp3?r=1&1683174201873
36,https://radio.garden/visit/marfa-tx/F6EDTMIJ,https://radio.garden/api/ara/content/listen/qml2BzCX/channel.mp3?r=1&1683174273324
37,https://radio.garden/visit/alpine-tx/PVxx08kT,https://radio.garden/api/ara/content/listen/dIvPTGDe/channel.mp3?r=1&1683174316044
38,https://radio.garden/visit/muzquiz-municipality/QHAZvj8i,https://radio.garden/api/ara/content/listen/P-MFPaTv/channel.mp3?r=1&1683174381696
42,https://radio.garden/visit/sabinas-hidalgo/weJeN7rH,
43,https://radio.garden/visit/nuevo-laredo/SO5a4FYN,
44,https://radio.garden/visit/laredo-tx/F2KBNS1d,
45,https://radio.garden/visit/mission-tx/CgwMOndR,
46,https://radio.garden/visit/reynosa/4wq7uZtI,
47,https://radio.garden/visit/mcallen-tx/PeOfDg3K,
